Country,Name,Category
India,Aindra Systems,Core AI
United States,Aingel Corp.,Fintech
United States,Aipoly,Computer Vision
Singapore,AIQ Pte Ltd,Computer Vision
United States,Aiqudo,Communication
United States,Airdog,Defense/Security
United Kingdom,Aire,Text Analytics
South Korea,AIRI,Core AI
Romania,AIris Vision,Computer Vision
United States,Airo Corp,Core AI
United States,Airware,Computer Vision
Poland,Aisens,Healthcare
United States,AiSoftware.com,Software Development
Spain,Aisoy,Robotics
China,AISpeech,Communication
Japan,Aissy,Agriculture
Sweden,AiTellU,Business Intelligence
France,Aiva Technologies,Entertainment
Finland,Aivan Innovations City,Text Analytics
Argentina,Aivo,Communication
Germany,Aivy,Sales/Marketing
United States,AKA,Communication
Taiwan,Akohub,Communication
United States,Alation,Data Analytics
United States,Albert Technologies Ltd,Sales/Marketing
United States,AlchemyAPI,Computer Vision
United Kingdom,Alchera Technologies,Computer Vision
China,Ald.SoftbankRobotics,Robotics
France,Aldebaran,Robotics
United States,ALEKS Corporation,Education
United States,AlexFinds,Travel
United Kingdom,AlgoDynamix,Fintech
United States,Algolia,Data Analytics
United States,"Algomus, Inc.",Communication
United States,Algorithmia,Software Development
United States,Algorithmic Intuition,Core AI
United States,Algorithmis.io,Software Development
United States,Algoriz,Defense/Security
United States,"AlgorX, Inc.",Sales/Marketing
Israel,algoseller,Sales/Marketing
United States,ALICE Technologies,Software Development
Canada,Alitheia Technologies Inc.,Robotics
Israel,All Aspect,Sales/Marketing
United States,Allen Institute for Artificial Intelligence,Core AI
Brazil,Allgoo,Fintech
France,Allo-Media,Communication
United States,Allocate.ai,Human Resources
United States,"Allure Security Technology, Inc.",Business Intelligence
United States,Alluvium,Business Intelligence
United States,"Allyke, Inc.",Computer Vision
United Kingdom,Almax Analytics,Fintech
China,Alon USA Energy,Energy
United States,Alpaca,Fintech
United Kingdom,Alpha I,Fintech
Russia,Alpha Smart,Robotics
China,Alpha-Bric,Healthcare
China,alphabase.ai,Fintech
Estonia,AlphaBlues,Communication
United States,AlphaRank,Sales/Marketing
United States,AlphaSense,Data Analytics
China,ALSrobot,Robotics
United States,Alterra.ai,Core AI
United States,Altocloud,Sales/Marketing
United States,Altoida,Healthcare
United States,Alvin5 Inc.,Sales/Marketing
Finland,AlvinOne,Healthcare
United States,Alynome,Sales/Marketing
United States,Amara Health Analytics,Healthcare
Hong Kong,Amareos,Fintech
Germany,Ambiverse,Text Analytics
Israel,Amenity Analytics,Text Analytics
United States,Amitree,Real Estate
United States,Amodit,Automation
United States,AMP Robotics,Robotics
United States,Amper Music,Entertainment
United States,Amplero,Sales/Marketing
Israel,amplifai,Computer Vision
United Kingdom,Ampliphae,Business Intelligence
United Kingdom,Amplyfi,Business Intelligence
Japan,Amy Agent,Communication
Japan,Amy Insight,Computer Vision
Japan,Amy Optimizer,Data Analytics
China,Amyrobotics,Robotics
United States,"Anaconda, Inc.",Data Analytics
Israel,Anagog,Transportation
Israel,ANAGOG,Transportation
United States,Analatom,Healthcare
Hungary,Analogy,Software Development
United States,Analytical Flavor Systems,Core AI
Canada,Analytics 4 Life,Healthcare
United Kingdom,Analytics Intelligenve,Data Analytics
Singapore,AND Global / AND Systems,Fintech
United Kingdom,ANDi,Communication
Japan,Anews,Communication
United States,Angee,Defense/Security
United States,Angel Intelligence,Communication
United States,Angilytics,Healthcare
Canada,Angoss Software,Text Analytics
United States,Anicut Systems,Defense/Security
United States,Anki,Robotics
Israel,Anodot,Business Intelligence
United States,Anomali,Defense/Security
France,Antidot ,Business Intelligence
United Kingdom,Antix,Computer Vision
United Kingdom,Anumerics,Data Analytics
Israel,Any.do ,Communication
Israel,anyclip,Sales/Marketing
Israel,AnyVision,Computer Vision
China,Anzhi-auto,Automation
United States,Apartment Ocean,Communication
Israel,APERIO,Defense/Security
United States,Aphrie,Transportation
United States,Api.ai,Communication
United States,APiO,Fintech
United States,Apixio,Healthcare
Mexico,Apli,Human Resources
United States,Apollo,Communication
United States,Apollo Agriculture,Agriculture
United States,Apollo Voice,Communication
United States,App Orchid,Internet of Things
United States,Appforma,Sales/Marketing
Israel,Appfront,Sales/Marketing
Taiwan,Appier,Business Intelligence
United States,Applicantz,Human Resources
Canada,Applied Brain Research,Core AI
United States,Applied Data Finance,Fintech
United States,Applitools,Computer Vision
Latvia,Apply - Custom Artificial Intelligence,Computer Vision
India,Appnings Software Solutions Pvt Ltd,Software Development
Canada,Apprento,Communication
United States,AppTek,Communication
United States,AppThis,Software Development
United States,Appthority,Defense/Security
Sweden,Apptus,Sales/Marketing
United States,AppZen,Fintech
United States,Aquifi,Manufacturing
Germany,arago,Core AI
Chile,Arara,Business Intelligence
Israel,arbe robotics,Robotics
Israel,Arbitrip,Travel
Canada,Arcbees,Core AI
United States,"Arctica Health, Inc",Healthcare
United States,Area 17,Software Development
United States,Argo AI,Transportation
United Kingdom,Aria Networks,Data Analytics
Canada,Ark Paradigm,Fintech
China,ARM,Communication
United States,ArmorWay,Data Analytics
United States,"Arogi, Inc.",Software Development
Ireland,Aromatix,Entertainment
United States,Aromyx,Business Intelligence
United Kingdom,Arria,Data Analytics
United Kingdom,Arria NLG,Communication
India,ArrowAI,Communication
United States,ArtBnk,Fintech
United States,Arterys,Healthcare
Hong Kong,ARTHA,Core AI
Hong Kong,Artha Ltd.,Core AI
Israel,Arti-Media,Computer Vision
United States,articoolo,Text Analytics
United States,Articoolo Research,Text Analytics
Spain,Artificial Solutions,Communication
Germany,ArtiMinds Robotics,Robotics
United States,artiNNet Corporation,Core AI
United Kingdom,Artios,Sales/Marketing
United States,Artisense,Computer Vision
India,Artivatic,Core AI
Ireland,Artomatix,Computer Vision
China,ArtRobot,Robotics
Norway,Arundo Analytics,Entertainment
India,Arya,Core AI
United States,Asaii,Entertainment
United States,ASAPP,Communication
United States,Ascent Technologies Inc.,Legal
Israel,Aspectiva,Sales/Marketing
United States,Aspire,Human Resources
United States,AssemblyAI,Communication
United States,Assist,Communication
United Kingdom,Assist AI,Communication
United States,Association for the Advancement of Artificial Intelligence,Education
United States,Astraea,Core AI
United States,Astro Technology,Communication
United States,Athelas,Healthcare
United States,Athena Labs,Human Resources
United States,Athletic Standard,Entertainment
Israel,Atidot,Insurance
United States,Atomwise,Healthcare
United States,ATUM,Core AI
Israel,Au10tix,Fintech
Israel,Aug-Mental,Healthcare
United States,Augmate,Manufacturing
United States,Augment Solutions,Communication
South Korea,Augmented Knowledge,Transportation
United States,Augur,Business Intelligence
United States,Augury Systems,Core AI
United States,Aurima,Core AI
United Kingdom,Aurora AI,Core AI
India,Authbase,Defense/Security
United States,"AUTHORS, Inc.",Core AI
United States,AutoGraph,Sales/Marketing
United States,AutoGrid Systems,Business Intelligence
China,Autoio,Automation
United States,Automabots,Communication
Canada,Automat,Communication
United States,Automated Insights,Communication
United Kingdom,Automatic Statistician,Core AI
United States,AutoMatter.io,Business Intelligence
United States,AutoX,Robotics
Germany,Autumn AI,Software Development
Germany,AVA,Defense/Security
France,Ava ,Communication
Canada,AVA Technologies Inc,Agriculture
United States,Avaamo,Business Intelligence
United Kingdom,Avalon AI,Core AI
Singapore,AVANSEUS HOLDINGS PTE LIMITED,Internet of Things
United States,Avata Intelligence,Core AI
Canada,Avidbots,Robotics
United States,Aviso,Sales/Marketing
United States,AVLab,Business Intelligence
United States,Avrio Analytics,Sales/Marketing
United States,Awake Security,Defense/Security
United States,aWhere,Agriculture
United States,Axle,Travel
China,Axmtec,Robotics
United States,Axon AI,Defense/Security
Switzerland,Axon Vibe,Transportation
France,Axyn,Sales/Marketing
Italy,Axyon.ai,Core AI
United States,Ayasdi,Software Development
United States,Ayata,Data Analytics
Ireland,AYLIEN,Text Analytics
United States,Azoft,Software Development
Thailand,Aztrana,
United States,"Azumo, LLC",Software Development
Japan,b-dash,Sales/Marketing
United States,"Baarb, Inc.",Data Analytics
Israel,Babator,Sales/Marketing
United States,Babel Street,Data Analytics
China,Babel Technology,Communication
Israel,Backfeed,
United States,Backstop,Software Development
France,Balyo ,Robotics
Japan,Bambooshoot,Sales/Marketing
Singapore,Bambu,Fintech
China,Bangsun Technology,Fintech
United States,Banian Labs,Travel
United States,Bark,Defense/Security
United Kingdom,Baro Vehicles,Robotics
Japan,Basis Technology,Text Analytics
United States,Bastille Networks,Defense/Security
United States,Bay Labs,Core AI
United States,Bayes Impact,Data Analytics
United States,Bazillion Beings,Software Development
Israel,BeaconCure,Healthcare
Canada,Beagle,Legal
Israel,BeeEye ,Fintech
United Kingdom,Beepal,Sales/Marketing
United States,Behaivior,Healthcare
Sweden,BehavioSec,Fintech
United Kingdom,Behavox,Business Intelligence
United States,Behold.ai,Core AI
Sweden,Behoover,Human Resources
China,Beijing Intelligent Starshine,Text Analytics
United States,Bellgram,Communication
United Kingdom,BenevolentAI,Core AI
United States,Benson Hill Biosystems,Agriculture
Switzerland,BestMile,Transportation
Israel,BetterTrader,Fintech
France,Beyable,E-Commerce
United States,Beyond Limits,Business Intelligence
Israel,BeyondVerbal,Communication
United States,Beyourself,Communication
China,BGI,Core AI
United States,bicedeep,Data Analytics
Israel,Bidalgo,Sales/Marketing
United States,Big Data Federation Inc,Fintech
United Kingdom,Big Data for Humans,Sales/Marketing
United States,Big Squid,Software Development
Israel,Bigabid,Sales/Marketing
United States,Bigfoot Biomedical,Healthcare
United States,Biggerpan,Core AI
Israel,BigID,Sales/Marketing
China,BigQuant,Fintech
United States,Bigstream,Data Analytics
Finland,Bilot Oy,Real Estate
Israel,binah.ai,Software Development
United States,Binded,Legal
Israel,Bio Eye,Healthcare
United States,BioAge Labs,Healthcare
Israel,BioCatch,Defense/Security
Singapore,Biofourmis Pte. Ltd.,Healthcare
France,Bioserenity ,Healthcare
United States,Bioz,Healthcare
United States,BirdEye,Sales/Marketing
China,BIT All Technology,Defense/Security
Japan,Bita,Software Development
United States,Bitext,Text Analytics
United States,BitFusion,Core AI
Finland,Bizmind,Sales/Marketing
Japan,BizRobo,Robotics
Japan,BizteX,Core AI
United States,Biztravel.ai,Travel
Brazil,bkper,Fintech
Australia,Black AI,Computer Vision
United Kingdom,Black Swan Data,Sales/Marketing
United States,Black Swan Technology,Fintech
United States,Blackbird Technologies,Core AI
United States,Blackbourne Worldwide,Defense/Security
Denmark,Blackwood Seven,Entertainment
Canada,Blanc Labs,Business Intelligence
United States,BlipIQ,Healthcare
United Kingdom,Blippar,Computer Vision
United States,BlockFraud,Defense/Security
United Kingdom,Bloomsbury,Text Analytics
India,Blubyn AI Ventures Pvt. Ltd,Travel
United States,"Blue Cocoa, Inc.",Software Development
United States,Blue Hexagon,Defense/Security
Canada,Blue J Legal,Text Analytics
United States,Blue Line Security Solutions,Computer Vision
United Kingdom,Blue Lion Research,Fintech
United Kingdom,Blue Vision Labs,Core AI
Germany,Blue Yonder,Sales/Marketing
United States,Blueprint Labs,Computer Vision
United States,Blueshift,Sales/Marketing
United States,BlueVector,Defense/Security
United States,BluHaptics,Core AI
United States,Bold Metrics,Sales/Marketing
China,Bongostech,Robotics
Israel,Bonobo.ai,Sales/Marketing
United States,Bonsai,Software Development
United States,BoodsKapper,Sales/Marketing
United States,Booktrack,Entertainment
Portugal,boomApp,Computer Vision
United States,Boomtrain,Sales/Marketing
United States,booqu Inc,Travel
United States,Boostinsider,Sales/Marketing
United States,Bossa Nova Robotics Inc.,Robotics
Netherlands,BotBoys,Communication
China,Botbrain.AI,Communication
United States,BotCentral,Communication
United States,Botego,Communication
France,Botfuel,Communication
Israel,BOTique,Communication
United Arab Emirates,Botler,Communication
Mexico,Botlers,Sales/Marketing
United States,BotMinds,Software Development
Ukraine,BotsCrew,Communication
United States,Bottlenose,Core AI
United States,Bottr,Communication
United States,Botworx.ai,Communication
United States,Bouncex,Sales/Marketing
Ireland,Boxever,Data Analytics
India,boxx.ai,E-Commerce
China,BoyunVision,Core AI
Japan,"BRAIN CO.,Ltd.",Business Intelligence
United States,Brain Corporation,Robotics
United States,BrainChip Inc.,Core AI
Netherlands,Braingineers,Sales/Marketing
Puerto Rico,BrainHi,Communication
United States,BrainItch,Communication
United States,BrainSpace,Software Development
United Kingdom,Braintree,Data Analytics
United States,BRAIQ INC.,Core AI
Israel,Brand AI,Automation
Finland,BrandBastion,Sales/Marketing
Israel,BrandTotal,Sales/Marketing
Kenya,Brave Venture Labs,Human Resources
China,Breakingpoint,Software Development
United States,Bright.MD,Healthcare
United States,Brighten,Communication
United States,Brighterion,Business Intelligence
United States,Brighterion,Fintech
United States,BrightFunnel,Sales/Marketing
Israel,BrightInfo,Sales/Marketing
United States,brightlamp,Computer Vision
United States,Brightleaf Solutions,Legal
Israel,BrightWay Vision,Transportation
United States,Brilent,Human Resources
Israel,Brillianetor,Transportation
Australia,BRiN,Education
Nigeria,Brindocorp,Software Development
Netherlands,Brise,Internet of Things
United States,Brite Health,Healthcare
Canada,Broadside Media,Computer Vision
Israel,Brodmann17,Core AI
Canada,Broid,Communication
United States,BrokerSavant,Real Estate
United Kingdom,Brolly,Fintech
Israel,Browsi,Sales/Marketing
United States,Brytecore,Sales/Marketing
United States,Bsquare,Internet of Things
Canada,BubbleGlass Real Estate Market Forecasting - A Worthwhile PLC Company,Sales/Marketing
Germany,BuddyGuard,Defense/Security
United States,BuildingIQ,Energy
United States,BuildOnMe,Core AI
China,BUNCH,Human Resources
Germany,Bunch,Human Resources
United States,Buoy Health,Healthcare
United States,BurstIQ,Healthcare
United States,Butter,Sales/Marketing
United States,Butterfly Network,Healthcare
United States,Butterfly.ai,Human Resources
United Kingdom,Buzzradar,Data Analytics
Canada,C2RO Robotics,Robotics
United States,C3 IoT,Software Development
United States,C3 IoT,Software Development
United States,Caila,Communication
Japan,CAIWA Service,Communication
United States,CaliberMind,Sales/Marketing
United States,Caligenix,Healthcare
United Kingdom,Calipsa,Automation
France,Calldesk,Communication
United States,CallMax,Communication
Israel,CallVu,Communication
United Kingdom,Cambridge Cancer Genomics,Healthcare
United Kingdom,Cambridge Quantum Computing,Core AI
Israel,camereyes,Healthcare
United States,Candidate Guru,Human Resources
United States,Cape Analytics,Computer Vision
United States,Capio,Communication
United States,Capsen Robotics,Robotics
United States,Captiv8,Data Analytics
United States,Captricity,Data Analytics
Israel,CardForest,Entertainment
United States,Cardiogram,Healthcare
France,Cardiologs ,Healthcare
United States,Care Angel,Healthcare
Germany,Cargonexx,Transportation
France,CARMAT,Healthcare
United States,Carnegie Speech,Communication
Poland,Cart Defender,Communication
Israel,CartaSense,Transportation
United States,"Caruma Technologies, Inc.",Transportation
United States,Cascade Strategies Inc.,Sales/Marketing
United States,Casetext,Communication
Singapore,CashShield,Defense/Security
Singapore,CashShield,Defense/Security
Germany,Caspar Health,Healthcare
Germany,Caspian Robotics,Robotics
Germany,Caspian Robotics,Robotics
Canada,Caspy,Communication
United States,Casting.AI,Human Resources
United States,Castle Intelligence,Defense/Security
Spain,Catchoom,Computer Vision
United States,CauseBot,Text Analytics
United States,CB4,Sales/Marketing
Sweden,Cbot,Robotics
China,Ceewa,Entertainment
United Kingdom,Celaton,Data Analytics
United States,Celect,E-Commerce
Italy,Celi Language Technology,Communication
United States,Cellepathy,Transportation
Israel,Cellopark,Transportation
Malaysia,Centaurus Technology,Robotics
United States,Centiment,Sales/Marketing
Sweden,Century Analytics,Fintech
United Kingdom,CENTURY Tech,Education
United States,Cerebellum Capital,Business Intelligence
United States,Cerebri AI,Sales/Marketing
United States,Ceres Imaging,Agriculture
United States,"Cerevrum, Inc.",Computer Vision
China,Cfuas,Robotics
Japan,Chainer,Core AI
Finland,Chaos Architects,Core AI
China,Chaosuan,Software Development
Japan,Chat Plus,Communication
Canada,chata.ai,Communication
China,Chatboy,Communication
Japan,ChatCenter.io,Communication
Russia,Chatfirst,Communication
United States,Chatfuel,Communication
United States,ChatQuery,Communication
Germany,Chatshopper,Communication
United Kingdom,Chatterbox Labs,Automation
United Kingdom,Chattermill,Data Analytics
Israel,CheckOut,Sales/Marketing
United States,Checkr,Human Resources
United Kingdom,CheckRecipient,Defense/Security
United Kingdom,CheckReipient,Defense/Security
China,Chehejia,Transportation
United States,Cherry Labs,Defense/Security
China,China Rapid Finance,Fintech
China,Chinac,Core AI
China,Chingmu,Entertainment
China,Chipintelli,Communication
China,Chivox,Communication
United States,Choice AI,Sales/Marketing
United States,Chooch,Fintech
Jordan,Ciapple,Sales/Marketing
United States,Cien,Sales/Marketing
United States,Cinch Financial,Fintech
United States,Cindicator,Fintech
United States,Circadence,Education
United States,"CircleBack, Inc.",Automation
Netherlands,Cirqle,E-Commerce
United States,Citrine Informatics,Data Analytics
United States,City Hive Inc.,Fintech
United States,CityBldr,Real Estate
Canada,CityZeen Inc,Software Development
United States,Civil Maps,Transportation
China,CJDZ,Computer Vision
United States,Cladoop,Healthcare
United States,Claire,Communication
Finland,Claned,Education
Finland,CLANED,Education
United States,Clara Labs,Communication
United States,Clarabridge,Communication
China,Clare.AI,Communication
United Kingdom,Clarice Travel,Travel
United States,Clarifai,Computer Vision
United States,Clarity Money,Fintech
United States,Clarke.ai,Automation
United States,Clear Health Analytics,Fintech
United States,ClearMetal,Business Intelligence
Canada,Clearpath,Robotics
Israel,ClearVuze,Defense/Security
United Kingdom,Cleo,Communication
United Kingdom,Cleo AI,Fintech
Sweden,Clerk.AI,Communication
India,clerro,Sales/Marketing
Russia,Clevapi,Computer Vision
Israel,clickspree,Sales/Marketing
United States,Clinc,Communication
United States,Clinicai,Healthcare
United Kingdom,CLINITHINK,Healthcare
United States,Clipcall,Communication
China,Clobotics,Robotics
India,Clodura Systems,Text Analytics
United States,CloubrAIn,Business Intelligence
United States,Cloud Pharmaceuticals,Healthcare
China,Cloud-frame,Manufacturing
United States,CloudBrain,Software Development
United States,CloudCar,Transportation
United States,CloudFactory,Automation
China,CloudIn Technology,Automation
Germany,CloudMade,Transportation
United States,CloudMedx Inc,Healthcare
United Kingdom,CloudNC,Transportation
United States,CloudSight Inc.,Computer Vision
China,CloudWalk,Computer Vision
Canada,Cluep,Sales/Marketing
France,Clustaar,Communication
Israel,Cnvrg.Io,Automation
United States,Coalesce.Info,Automation
China,Coalitionsun,Software Development
United States,Cobalt Robotics Inc.,Robotics
Germany,Cobrainer,Core AI
South Korea,Cochlear.ai,Communication
belgium,codata,Real Estate
Finland,Codator Oy,Business Intelligence
United Kingdom,Codec,Sales/Marketing
Germany,Codetrails,Software Development
Israel,CodiPark,Transportation
United States,Cofactor Genomics,Healthcare
Japan,Cogent Labs,Communication
Italy,Cogisen,Computer Vision
United States,Cogitai,Core AI
United States,Cogito Corporation,Communication
Israel,Cognata,Transportation
Spain,CogniCor Technologies,Communication
Germany,Cognigy,Communication
United States,Cognii,Education
Israel,Cognilyze,Sales/Marketing
United Kingdom,Cognism,Sales/Marketing
Israel,Cogniteam,Robotics
United Arab Emirates,Cognitev,Sales/Marketing
United States,Cognition Technologies,Healthcare
United Kingdom,Cognitiv+,Legal
United States,Cognitive Code,Communication
United States,Cognitive Operational Systems,Education
United States,CognitiveScale,Computer Vision
United States,Cognituum,Core AI
United States,COGNITUUM AGI,Core AI
United States,Coherent Path,Sales/Marketing
Germany,collectAI,Sales/Marketing
Finland,Collective Crunch,Energy
United States,Collokia,Business Intelligence
United States,Comfy,Human Resources
United States,Comma,Transportation
Austria,Commendo Research & Consulting,Sales/Marketing
Spain,Commons,Communication
United Kingdom,CompanyBook,Business Intelligence
United States,Compellon,Sales/Marketing
United States,Complexity Intelligence,Communication
United States,Compliance.ai,Fintech
United States,Comprendi,Sales/Marketing
United Kingdom,Concured,Business Intelligence
United States,Conductrics,Software Development
United States,Conectric Networks,Energy
Netherlands,Connecterra,Agriculture
United Kingdom,Consequential Robotics,Robotics
United States,content AI studios,Software Development
United States,"Content Technologies, Inc. (CTI)",Business Intelligence
India,Contentop,Text Analytics
United Kingdom,Context Scout,Core AI
United States,Context360,Data Analytics
Canada,Contextere,Communication
United States,ContextSmith,Sales/Marketing
Sweden,ContextVision,Healthcare
Germany,Contiamo,Automation
Israel,ContinUse,Healthcare
United States,Conversable,Automation
United States,Conversation.one,Communication
United States,Converse.AI,Communication
United States,Converseon,Business Intelligence
United States,Conversica,Sales/Marketing
United Kingdom,Converstity,Sales/Marketing
United States,Convertro,Sales/Marketing
United States,Convessa,Core AI
United States,Conviva,Computer Vision
Denmark,Conyak,Sales/Marketing
Japan,Cooori,Education
China,Copera,Internet of Things
Israel,Coralogix,Business Intelligence
Canada,Corporate IQ Solutions Inc.,Business Intelligence
India,Corseco Technologies Private Limited,Computer Vision
United States,Cortex,Sales/Marketing
United Kingdom,Cortexica Visual Systems,Computer Vision
Denmark,Corti,Communication
Israel,Cortica,Computer Vision
Austria,cortical.io,Text Analytics
United States,Coseer,Software Development
United States,Cosmic Forces,Software Development
United States,COSY,Robotics
Japan,Couger,Robotics
New Zealand,Cove,Fintech
France,Craft AI,Software Development
Poland,Craftinity,Data Analytics
United States,Crane Ai,Software Development
United Kingdom,Creative,Automation
Germany,Creative.ai,Entertainment
India,CrediWatch,Business Intelligence
Israel,CriskCo,Fintech
France,Criteo,Sales/Marketing
United States,"CRIXlabs, Inc. (DBA Quantified Skin)",Core AI
Netherlands,Crobox,E-Commerce
United States,Croptimize,Agriculture
United States,Crossing Minds,Core AI
United States,CrowdAI,Core AI
United States,CrowdFlower,Business Intelligence
United States,CrowdFlower Inc.,Core AI
United States,CrowdfundX,Sales/Marketing
United Kingdom,CrowdVision,Transportation
Netherlands,Crowdynews,Sales/Marketing
United States,Crowdz,Sales/Marketing
United States,Cruise Automation,Robotics
Israel,crunchmind,Sales/Marketing
China,Crwnt,Entertainment
United Kingdom,Crystal,Sales/Marketing
United Kingdom,Crystal Apps,Communication
Poland,CTA,Computer Vision
United States,CUJO,Software Development
United States,CureMetrix,Healthcare
India,CURIE Labs,Automation
Japan,Curon,Healthcare
Japan,Customer Rings,Sales/Marketing
United States,CustomerMatrix,Core AI
France,Cutii (Yumii),Robotics
India,CVViZ,Human Resources
United States,Cyber 20/20,Defense/Security
Romania,Cyber â€‹â€‹Swarm,Defense/Security
United States,Cyber Reconnaissance,Defense/Security
United States,Cybereason,Defense/Security
United Kingdom,Cyberlytic,Defense/Security
United Kingdom,CyberSparta,Defense/Security
United Kingdom,Cybertonica,Defense/Security
United States,CyberX,Defense/Security
Israel,Cybewrite,Defense/Security
United States,Cybraics,Defense/Security
Canada,Cyclica,Healthcare
United States,Cycorp,Education
Israel,CyKickLabs,Defense/Security
United States,Cylance,Defense/Security
United States,Cylance,Defense/Security
Israel,Cymbio,Sales/Marketing
United States,CYNGN,Core AI
France,Cypheme,E-Commerce
