Countries,Year,Number_of_companies
Portugal,2016,6
Qatar,2016,0
Romania,2016,2
Russia,2016,13
Singapore,2016,23
South Africa,2016,3
South Korea,2016,21
Spain,2016,22
Sweden,2016,20
Switzerland,2016,10
Taiwan,2016,1
Tunisia,2016,0
Turkey,2016,4
Ukraine,2016,2
United Arab Emirates,2016,4
United Kingdom,2016,158
United States,2016,922
Uruguay,2016,1
Vietnam,2016,1
Argentina,2015,1
Australia,2015,9
Austria,2015,5
Bangladesh,2015,0
Belarus,2015,0
Belgium,2015,5
Bermuda,2015,1
Brazil,2015,3
British Virgin Islands,2015,0
Bulgaria,2015,1
Canada,2015,67
Chile,2015,0
China,2015,50
Colombia,2015,0
Croatia,2015,0
Cyprus,2015,0
Czech Republic,2015,1
Denmark,2015,7
Ecuador,2015,0
Egypt,2015,0
El Salvador,2015,0
Estonia,2015,0
Finland,2015,9
France,2015,42
Georgia,2015,0
Germany,2015,40
Gibraltar,2015,1
Greece,2015,0
Hong Kong,2015,3
Hungary,2015,1
Iceland,2015,1
India,2015,51
Indonesia,2015,3
Ireland,2015,10
Israel,2015,50
Italy,2015,9
Japan,2015,8
Kenya,2015,2
Latvia,2015,2
Lebanon,2015,2
Lithuania,2015,0
Luxembourg,2015,0
Malaysia,2015,1
Malta,2015,0
Mauritius,2015,0
Mexico,2015,2
Mongolia,2015,0
Netherlands,2015,7
New Zealand,2015,4
Nigeria,2015,0
Norway,2015,5
Pakistan,2015,0
Peru,2015,1
Philippines,2015,1
Poland,2015,7
Portugal,2015,5
Qatar,2015,0
Romania,2015,0
Russia,2015,8
Singapore,2015,15
South Africa,2015,2
South Korea,2015,8
Spain,2015,17
Sweden,2015,19
Switzerland,2015,11
Taiwan,2015,1
Tunisia,2015,0
Turkey,2015,4
Ukraine,2015,0
United Arab Emirates,2015,2
United Kingdom,2015,99
United States,2015,671
Uruguay,2015,0
Vietnam,2015,1
Argentina,2014,1
Australia,2014,6
Austria,2014,2
Bangladesh,2014,0
Belarus,2014,0
Belgium,2014,2
Bermuda,2014,1
Brazil,2014,1
British Virgin Islands,2014,0
Bulgaria,2014,1
Canada,2014,40
Chile,2014,0
China,2014,24
Colombia,2014,0
Croatia,2014,0
Cyprus,2014,0
Czech Republic,2014,0
Denmark,2014,1
Ecuador,2014,0
Egypt,2014,0
El Salvador,2014,0
Estonia,2014,0
Finland,2014,8
France,2014,19
Georgia,2014,0
Germany,2014,16
Gibraltar,2014,1
Greece,2014,1
Hong Kong,2014,4
Hungary,2014,1
Iceland,2014,0
India,2014,25
Indonesia,2014,0
Ireland,2014,11
Israel,2014,33
Italy,2014,12
Japan,2014,13
Kenya,2014,0
Latvia,2014,1
Lebanon,2014,1
Lithuania,2014,0
Luxembourg,2014,0
Malaysia,2014,0
Malta,2014,0
Mauritius,2014,0
Mexico,2014,2
Mongolia,2014,0
Netherlands,2014,5
New Zealand,2014,2
Nigeria,2014,0
Norway,2014,2
Pakistan,2014,0
Peru,2014,2
Philippines,2014,0
Poland,2014,8
Portugal,2014,5
Qatar,2014,0
Romania,2014,0
Russia,2014,1
Singapore,2014,9
South Africa,2014,0
South Korea,2014,0
Spain,2014,9
Sweden,2014,10
Switzerland,2014,9
Taiwan,2014,1
Tunisia,2014,0
Turkey,2014,2
Ukraine,2014,0
United Arab Emirates,2014,1
United Kingdom,2014,70
United States,2014,532
Uruguay,2014,0
Vietnam,2014,0
Argentina,2013,1
Australia,2013,4
Austria,2013,1
Bangladesh,2013,0
Belarus,2013,0
Belgium,2013,1
Bermuda,2013,2
Brazil,2013,0
British Virgin Islands,2013,0
Bulgaria,2013,2
Canada,2013,46
Chile,2013,1
China,2013,9
Colombia,2013,0
Croatia,2013,0
Cyprus,2013,0
Czech Republic,2013,1
Denmark,2013,2
Ecuador,2013,0
Egypt,2013,0
El Salvador,2013,0
Estonia,2013,0
Finland,2013,7
France,2013,13
Georgia,2013,0
Germany,2013,12
Gibraltar,2013,1
Greece,2013,0
Hong Kong,2013,2
Hungary,2013,2
Iceland,2013,1
India,2013,15
Indonesia,2013,0
Ireland,2013,5
Israel,2013,25
Italy,2013,6
Japan,2013,4
Kenya,2013,0
Latvia,2013,1
Lebanon,2013,0
Lithuania,2013,1
Luxembourg,2013,0
Malaysia,2013,0
Malta,2013,0
Mauritius,2013,0
Mexico,2013,2
Mongolia,2013,0
Netherlands,2013,2
New Zealand,2013,0
Nigeria,2013,0
Norway,2013,0
Pakistan,2013,0
Peru,2013,1
Philippines,2013,0
Poland,2013,2
Portugal,2013,3
Qatar,2013,0
Romania,2013,0
Russia,2013,1
Singapore,2013,7
South Africa,2013,0
South Korea,2013,1
Spain,2013,9
Sweden,2013,4
Switzerland,2013,5
Taiwan,2013,1
Tunisia,2013,0
Turkey,2013,1
Ukraine,2013,0
United Arab Emirates,2013,1
United Kingdom,2013,54
United States,2013,352
Uruguay,2013,0
Vietnam,2013,0
Argentina,2012,2
Australia,2012,0
Austria,2012,1
Bangladesh,2012,0
Belarus,2012,0
Belgium,2012,4
Bermuda,2012,1
Brazil,2012,3
British Virgin Islands,2012,0
Bulgaria,2012,0
Canada,2012,22
Chile,2012,0
China,2012,7
Colombia,2012,0
Croatia,2012,0
Cyprus,2012,0
Czech Republic,2012,0
Denmark,2012,3
Ecuador,2012,0
Egypt,2012,0
El Salvador,2012,0
Estonia,2012,0
Finland,2012,4
France,2012,6
Georgia,2012,0
Germany,2012,10
Gibraltar,2012,0
Greece,2012,0
Hong Kong,2012,2
Hungary,2012,1
Iceland,2012,1
India,2012,12
Indonesia,2012,0
Ireland,2012,4
Israel,2012,10
Italy,2012,3
Japan,2012,1
Kenya,2012,0
Latvia,2012,0
Lebanon,2012,1
Lithuania,2012,0
Luxembourg,2012,0
Malaysia,2012,0
Malta,2012,0
Mauritius,2012,0
Mexico,2012,0
Mongolia,2012,0
Netherlands,2012,2
New Zealand,2012,3
Nigeria,2012,0
Norway,2012,2
Pakistan,2012,0
Peru,2012,0
Philippines,2012,0
Poland,2012,0
Portugal,2012,1
Qatar,2012,0
Romania,2012,0
Russia,2012,4
Singapore,2012,4
South Africa,2012,0
South Korea,2012,4
Spain,2012,7
Sweden,2012,4
Switzerland,2012,4
Taiwan,2012,1
Tunisia,2012,0
Turkey,2012,0
Ukraine,2012,0
United Arab Emirates,2012,0
United Kingdom,2012,31
United States,2012,216
Uruguay,2012,0
Vietnam,2012,0
Argentina,2011,0
Australia,2011,5
Austria,2011,0
Bangladesh,2011,0
Belarus,2011,0
Belgium,2011,0
Bermuda,2011,0
Brazil,2011,0
British Virgin Islands,2011,0
Bulgaria,2011,0
Canada,2011,15
Chile,2011,0
China,2011,5
Colombia,2011,0
Croatia,2011,0
Cyprus,2011,0
Czech Republic,2011,0
Denmark,2011,0
Ecuador,2011,0
Egypt,2011,0
El Salvador,2011,0
Estonia,2011,0
Finland,2011,1
France,2011,9
Georgia,2011,0
Germany,2011,5
Gibraltar,2011,0
Greece,2011,1
Hong Kong,2011,0
Hungary,2011,0
Iceland,2011,0
India,2011,4
Indonesia,2011,0
Ireland,2011,2
Israel,2011,9
Italy,2011,2
Japan,2011,4
Kenya,2011,0
Latvia,2011,1
Lebanon,2011,0
Lithuania,2011,0
Luxembourg,2011,0
Malaysia,2011,0
Malta,2011,0
Mauritius,2011,0
Mexico,2011,1
Mongolia,2011,0
Netherlands,2011,0
New Zealand,2011,1
Nigeria,2011,0
Norway,2011,1
Pakistan,2011,0
Peru,2011,0
Philippines,2011,0
Poland,2011,0
Portugal,2011,1
Qatar,2011,0
Romania,2011,0
Russia,2011,3
Singapore,2011,4
South Africa,2011,0
South Korea,2011,0
Spain,2011,3
Sweden,2011,3
Switzerland,2011,2
Taiwan,2011,0
Tunisia,2011,0
Turkey,2011,0
Ukraine,2011,0
United Arab Emirates,2011,0
United Kingdom,2011,21
United States,2011,163
Uruguay,2011,0
Vietnam,2011,0
Argentina,2010,0
Australia,2010,2
Austria,2010,2
Bangladesh,2010,0
Belarus,2010,0
Belgium,2010,0
Bermuda,2010,1
Brazil,2010,1
British Virgin Islands,2010,0
Bulgaria,2010,1
Canada,2010,11
Chile,2010,0
China,2010,2
Colombia,2010,0
Croatia,2010,0
Cyprus,2010,0
Czech Republic,2010,0
Denmark,2010,0
Ecuador,2010,0
Egypt,2010,0
El Salvador,2010,0
Estonia,2010,0
Finland,2010,1
France,2010,4
Georgia,2010,0
Germany,2010,6
Gibraltar,2010,0
Greece,2010,0
Hong Kong,2010,1
Hungary,2010,0
Iceland,2010,0
India,2010,3
Indonesia,2010,0
Ireland,2010,2
Israel,2010,1
Italy,2010,0
Japan,2010,0
Kenya,2010,0
Latvia,2010,0
Lebanon,2010,0
Lithuania,2010,0
Luxembourg,2010,0
Malaysia,2010,0
Malta,2010,0
Mauritius,2010,0
Mexico,2010,0
Mongolia,2010,0
Netherlands,2010,2
New Zealand,2010,1
Nigeria,2010,0
Norway,2010,0
Pakistan,2010,0
Peru,2010,0
Philippines,2010,0
Poland,2010,2
Portugal,2010,0
Qatar,2010,0
Romania,2010,0
Russia,2010,0
Singapore,2010,0
South Africa,2010,0
South Korea,2010,0
Spain,2010,1
Sweden,2010,2
Switzerland,2010,1
Taiwan,2010,0
Tunisia,2010,0
Turkey,2010,3
Ukraine,2010,0
United Arab Emirates,2010,0
United Kingdom,2010,13
United States,2010,121
Uruguay,2010,0
Vietnam,2010,0
Argentina,2009,0
Australia,2009,1
Austria,2009,1
Bangladesh,2009,0
Belarus,2009,0
Belgium,2009,0
Bermuda,2009,0
Brazil,2009,1
British Virgin Islands,2009,0
Bulgaria,2009,0
Canada,2009,3
Chile,2009,0
China,2009,2
Colombia,2009,0
Croatia,2009,0
Cyprus,2009,0
Czech Republic,2009,0
Denmark,2009,0
Ecuador,2009,0
Egypt,2009,0
El Salvador,2009,0
Estonia,2009,0
Finland,2009,0
France,2009,1
Georgia,2009,0
Germany,2009,10
Gibraltar,2009,0
Greece,2009,0
Hong Kong,2009,1
Hungary,2009,1
Iceland,2009,0
India,2009,2
Indonesia,2009,0
Ireland,2009,0
Israel,2009,2
Italy,2009,0
Japan,2009,2
Kenya,2009,0
Latvia,2009,0
Lebanon,2009,0
Lithuania,2009,0
Luxembourg,2009,0
Malaysia,2009,0
Malta,2009,0
Mauritius,2009,0
Mexico,2009,0
Mongolia,2009,0
Netherlands,2009,1
New Zealand,2009,0
Nigeria,2009,0
Norway,2009,0
Pakistan,2009,0
Peru,2009,0
Philippines,2009,0
Poland,2009,0
Portugal,2009,0
Qatar,2009,0
Romania,2009,0
Russia,2009,1
Singapore,2009,0
South Africa,2009,0
South Korea,2009,0
Spain,2009,2
Sweden,2009,2
Switzerland,2009,1
Taiwan,2009,0
Tunisia,2009,0
Turkey,2009,0
Ukraine,2009,0
United Arab Emirates,2009,0
United Kingdom,2009,9
United States,2009,82
Uruguay,2009,0
Vietnam,2009,0
Argentina,2008,0
Australia,2008,2
Austria,2008,1
Bangladesh,2008,0
Belarus,2008,0
Belgium,2008,1
Bermuda,2008,0
Brazil,2008,1
British Virgin Islands,2008,0
Bulgaria,2008,1
Canada,2008,6
Chile,2008,0
China,2008,1
Colombia,2008,0
Croatia,2008,0
Cyprus,2008,0
Czech Republic,2008,0
Denmark,2008,1
Ecuador,2008,0
Egypt,2008,0
El Salvador,2008,0
Estonia,2008,0
Finland,2008,2
France,2008,2
Georgia,2008,0
Germany,2008,5
Gibraltar,2008,0
Greece,2008,0
Hong Kong,2008,0
Hungary,2008,0
Iceland,2008,0
India,2008,5
Indonesia,2008,0
Ireland,2008,0
Israel,2008,3
Italy,2008,0
Japan,2008,2
Kenya,2008,0
Latvia,2008,1
Lebanon,2008,0
Lithuania,2008,0
Luxembourg,2008,0
Malaysia,2008,0
Malta,2008,0
Mauritius,2008,0
Mexico,2008,0
Mongolia,2008,0
Netherlands,2008,0
New Zealand,2008,0
Nigeria,2008,0
Norway,2008,0
Pakistan,2008,0
Peru,2008,0
Philippines,2008,0
Poland,2008,0
Portugal,2008,0
Qatar,2008,0
Romania,2008,0
Russia,2008,0
Singapore,2008,0
South Africa,2008,0
South Korea,2008,0
Spain,2008,2
Sweden,2008,3
Switzerland,2008,0
Taiwan,2008,0
Tunisia,2008,0
Turkey,2008,0
Ukraine,2008,0
United Arab Emirates,2008,0
United Kingdom,2008,11
United States,2008,71
Uruguay,2008,0
Vietnam,2008,0
Argentina,2007,1
Australia,2007,2
Austria,2007,0
Bangladesh,2007,0
Belarus,2007,0
Belgium,2007,3
Bermuda,2007,1
Brazil,2007,0
British Virgin Islands,2007,0
Bulgaria,2007,0
Canada,2007,5
Chile,2007,0
China,2007,1
Colombia,2007,0
Croatia,2007,0
Cyprus,2007,0
Czech Republic,2007,0
Denmark,2007,0
Ecuador,2007,0
Egypt,2007,0
El Salvador,2007,0
Estonia,2007,0
Finland,2007,2
France,2007,3
Georgia,2007,0
Germany,2007,3
Gibraltar,2007,0
Greece,2007,0
Hong Kong,2007,0
Hungary,2007,0
Iceland,2007,0
India,2007,4
Indonesia,2007,0
Ireland,2007,0
Israel,2007,2
Italy,2007,1
Japan,2007,1
Kenya,2007,0
Latvia,2007,1
Lebanon,2007,0
Lithuania,2007,0
Luxembourg,2007,0
Malaysia,2007,0
Malta,2007,0
Mauritius,2007,0
Mexico,2007,0
Mongolia,2007,0
Netherlands,2007,0
New Zealand,2007,0
Nigeria,2007,0
Norway,2007,1
Pakistan,2007,0
Peru,2007,0
Philippines,2007,0
Poland,2007,0
Portugal,2007,0
Qatar,2007,0
Romania,2007,0
Russia,2007,0
Singapore,2007,0
South Africa,2007,0
South Korea,2007,1
Spain,2007,2
Sweden,2007,2
Switzerland,2007,1
Taiwan,2007,0
Tunisia,2007,0
Turkey,2007,0
Ukraine,2007,0
United Arab Emirates,2007,0
United Kingdom,2007,5
United States,2007,50
Uruguay,2007,0
Vietnam,2007,0
Argentina,2006,0
Australia,2006,1
Austria,2006,0
Bangladesh,2006,0
Belarus,2006,0
Belgium,2006,0
Bermuda,2006,0
Brazil,2006,0
British Virgin Islands,2006,0
Bulgaria,2006,0
Canada,2006,3
Chile,2006,0
China,2006,2
Colombia,2006,0
Croatia,2006,0
Cyprus,2006,0
Czech Republic,2006,0
Denmark,2006,1
Ecuador,2006,0
Egypt,2006,0
El Salvador,2006,0
Estonia,2006,0
Finland,2006,2
France,2006,1
Georgia,2006,0
Germany,2006,5
Gibraltar,2006,0
Greece,2006,0
Hong Kong,2006,0
Hungary,2006,0
Iceland,2006,0
India,2006,0
Indonesia,2006,0
Ireland,2006,0
Israel,2006,3
Italy,2006,0
Japan,2006,1
Kenya,2006,0
Latvia,2006,0
Lebanon,2006,0
Lithuania,2006,0
Luxembourg,2006,0
Malaysia,2006,1
Malta,2006,0
Mauritius,2006,0
Mexico,2006,0
Mongolia,2006,0
Netherlands,2006,1
New Zealand,2006,0
Nigeria,2006,0
Norway,2006,0
Pakistan,2006,0
Peru,2006,0
Philippines,2006,0
Poland,2006,0
Portugal,2006,0
Qatar,2006,0
Romania,2006,0
Russia,2006,0
Singapore,2006,0
South Africa,2006,0
South Korea,2006,0
Spain,2006,0
Sweden,2006,1
Switzerland,2006,0
Taiwan,2006,0
Tunisia,2006,0
Turkey,2006,0
Ukraine,2006,0
United Arab Emirates,2006,0
United Kingdom,2006,3
United States,2006,33
Uruguay,2006,0
Vietnam,2006,0
Argentina,2005,0
Australia,2005,2
Austria,2005,1
Bangladesh,2005,0
Belarus,2005,0
Belgium,2005,0
Bermuda,2005,0
Brazil,2005,0
British Virgin Islands,2005,0
Bulgaria,2005,0
Canada,2005,4
Chile,2005,0
China,2005,1
Colombia,2005,0
Croatia,2005,0
Cyprus,2005,0
Czech Republic,2005,0
Denmark,2005,0
Ecuador,2005,0
Egypt,2005,0
El Salvador,2005,0
Estonia,2005,0
Finland,2005,0
France,2005,1
Georgia,2005,0
Germany,2005,0
Gibraltar,2005,0
Greece,2005,0
Hong Kong,2005,0
Hungary,2005,0
Iceland,2005,0
India,2005,1
Indonesia,2005,0
Ireland,2005,0
Israel,2005,2
Italy,2005,1
Japan,2005,1
Kenya,2005,0
Latvia,2005,0
Lebanon,2005,0
Lithuania,2005,0
Luxembourg,2005,0
Malaysia,2005,0
Malta,2005,0
Mauritius,2005,0
Mexico,2005,0
Mongolia,2005,0
Netherlands,2005,0
New Zealand,2005,1
Nigeria,2005,0
Norway,2005,0
Pakistan,2005,0
Peru,2005,0
Philippines,2005,0
Poland,2005,0
Portugal,2005,0
Qatar,2005,0
Romania,2005,0
Russia,2005,0
Singapore,2005,0
South Africa,2005,0
South Korea,2005,0
Spain,2005,0
Sweden,2005,2
Switzerland,2005,0
Taiwan,2005,0
Tunisia,2005,0
Turkey,2005,0
Ukraine,2005,0
United Arab Emirates,2005,0
United Kingdom,2005,6
United States,2005,37
Uruguay,2005,0
Vietnam,2005,0
Argentina,2004,0
Australia,2004,0
Austria,2004,2
Bangladesh,2004,0
Belarus,2004,0
Belgium,2004,0
Bermuda,2004,1
Brazil,2004,0
British Virgin Islands,2004,0
Bulgaria,2004,0
Canada,2004,2
Chile,2004,0
China,2004,0
Colombia,2004,0
Croatia,2004,0
Cyprus,2004,0
Czech Republic,2004,0
Denmark,2004,0
Ecuador,2004,0
Egypt,2004,0
El Salvador,2004,0
Estonia,2004,0
Finland,2004,0
France,2004,0
Georgia,2004,0
Germany,2004,2
Gibraltar,2004,0
Greece,2004,0
Hong Kong,2004,1
Hungary,2004,0
Iceland,2004,0
India,2004,1
Indonesia,2004,0
Ireland,2004,0
Israel,2004,0
Italy,2004,0
Japan,2004,0
Kenya,2004,0
Latvia,2004,0
Lebanon,2004,0
Lithuania,2004,0
Luxembourg,2004,0
Malaysia,2004,0
Malta,2004,0
Mauritius,2004,0
Mexico,2004,0
Mongolia,2004,0
Netherlands,2004,0
New Zealand,2004,0
Nigeria,2004,0
Norway,2004,0
Pakistan,2004,0
Peru,2004,0
Philippines,2004,0
Poland,2004,0
Portugal,2004,0
Qatar,2004,0
Romania,2004,0
Russia,2004,0
Singapore,2004,0
South Africa,2004,0
South Korea,2004,0
Spain,2004,0
Sweden,2004,2
Switzerland,2004,0
Taiwan,2004,0
Tunisia,2004,0
Turkey,2004,1
Ukraine,2004,0
United Arab Emirates,2004,0
United Kingdom,2004,5
United States,2004,24
Uruguay,2004,0
Vietnam,2004,0
Argentina,2003,0
Australia,2003,1
Austria,2003,0
Bangladesh,2003,0
Belarus,2003,0
Belgium,2003,0
Bermuda,2003,0
Brazil,2003,0
British Virgin Islands,2003,0
Bulgaria,2003,0
Canada,2003,0
Chile,2003,0
China,2003,1
Colombia,2003,0
Croatia,2003,0
Cyprus,2003,0
Czech Republic,2003,0
Denmark,2003,1
Ecuador,2003,0
Egypt,2003,0
El Salvador,2003,0
Estonia,2003,0
Finland,2003,1
France,2003,0
Georgia,2003,0
Germany,2003,2
Gibraltar,2003,0
Greece,2003,0
Hong Kong,2003,0
Hungary,2003,0
Iceland,2003,0
India,2003,0
Indonesia,2003,0
Ireland,2003,0
Israel,2003,1
Italy,2003,0
Japan,2003,0
Kenya,2003,0
Latvia,2003,0
Lebanon,2003,0
Lithuania,2003,0
Luxembourg,2003,0
Malaysia,2003,0
Malta,2003,0
Mauritius,2003,0
Mexico,2003,0
Mongolia,2003,0
Netherlands,2003,0
New Zealand,2003,1
Nigeria,2003,0
Norway,2003,1
Pakistan,2003,0
Peru,2003,0
Philippines,2003,0
Poland,2003,0
Portugal,2003,0
Qatar,2003,0
Romania,2003,0
Russia,2003,1
Singapore,2003,0
South Africa,2003,0
South Korea,2003,0
Spain,2003,1
Sweden,2003,1
Switzerland,2003,0
Taiwan,2003,0
Tunisia,2003,0
Turkey,2003,0
Ukraine,2003,0
United Arab Emirates,2003,0
United Kingdom,2003,3
United States,2003,23
Uruguay,2003,0
Vietnam,2003,0
Argentina,2002,0
Australia,2002,1
Austria,2002,1
Bangladesh,2002,0
Belarus,2002,0
Belgium,2002,1
Bermuda,2002,0
Brazil,2002,0
British Virgin Islands,2002,0
Bulgaria,2002,0
Canada,2002,2
Chile,2002,0
China,2002,1
Colombia,2002,0
Croatia,2002,0
Cyprus,2002,0
Czech Republic,2002,0
Denmark,2002,0
Ecuador,2002,0
Egypt,2002,0
El Salvador,2002,0
Estonia,2002,0
Finland,2002,0
France,2002,2
Georgia,2002,0
Germany,2002,2
Gibraltar,2002,0
Greece,2002,0
Hong Kong,2002,0
Hungary,2002,0
Iceland,2002,0
India,2002,0
Indonesia,2002,0
Ireland,2002,0
Israel,2002,1
Italy,2002,1
Japan,2002,1
Kenya,2002,0
Latvia,2002,0
Lebanon,2002,0
Lithuania,2002,0
Luxembourg,2002,0
Malaysia,2002,0
Malta,2002,0
Mauritius,2002,0
Mexico,2002,0
Mongolia,2002,0
Netherlands,2002,0
New Zealand,2002,1
Nigeria,2002,0
Norway,2002,0
Pakistan,2002,0
Peru,2002,0
Philippines,2002,0
Poland,2002,0
Portugal,2002,0
Qatar,2002,0
Romania,2002,0
Russia,2002,1
Singapore,2002,0
South Africa,2002,0
South Korea,2002,0
Spain,2002,0
Sweden,2002,1
Switzerland,2002,0
Taiwan,2002,0
Tunisia,2002,0
Turkey,2002,0
Ukraine,2002,0
United Arab Emirates,2002,0
United Kingdom,2002,0
United States,2002,16
Uruguay,2002,0
Vietnam,2002,0
Argentina,2001,0
Australia,2001,0
Austria,2001,0
Bangladesh,2001,0
Belarus,2001,0
Belgium,2001,1
Bermuda,2001,0
Brazil,2001,0
British Virgin Islands,2001,0
Bulgaria,2001,0
Canada,2001,1
Chile,2001,0
China,2001,1
Colombia,2001,0
Croatia,2001,0
Cyprus,2001,0
Czech Republic,2001,0
Denmark,2001,0
Ecuador,2001,0
Egypt,2001,0
El Salvador,2001,0
Estonia,2001,0
Finland,2001,0
France,2001,0
Georgia,2001,0
Germany,2001,0
Gibraltar,2001,0
Greece,2001,0
Hong Kong,2001,0
Hungary,2001,0
Iceland,2001,0
India,2001,1
Indonesia,2001,0
Ireland,2001,0
Israel,2001,1
Italy,2001,0
Japan,2001,0
Kenya,2001,0
Latvia,2001,0
Lebanon,2001,0
Lithuania,2001,0
Luxembourg,2001,0
Malaysia,2001,0
Malta,2001,0
Mauritius,2001,0
Mexico,2001,0
Mongolia,2001,0
Netherlands,2001,0
New Zealand,2001,0
Nigeria,2001,0
Norway,2001,0
Pakistan,2001,0
Peru,2001,0
Philippines,2001,0
Poland,2001,0
Portugal,2001,0
Qatar,2001,0
Romania,2001,0
Russia,2001,0
Singapore,2001,0
South Africa,2001,0
South Korea,2001,0
Spain,2001,1
Sweden,2001,3
Switzerland,2001,0
Taiwan,2001,0
Tunisia,2001,0
Turkey,2001,0
Ukraine,2001,0
United Arab Emirates,2001,0
United Kingdom,2001,2
United States,2001,30
Uruguay,2001,0
Vietnam,2001,0
Argentina,2000,0
Australia,2000,0
Austria,2000,0
Bangladesh,2000,0
Belarus,2000,0
Belgium,2000,0
Bermuda,2000,1
Brazil,2000,0
British Virgin Islands,2000,0
Bulgaria,2000,0
Canada,2000,2
Chile,2000,0
China,2000,0
Colombia,2000,0
Croatia,2000,0
Cyprus,2000,0
Czech Republic,2000,0
Denmark,2000,0
Ecuador,2000,0
Egypt,2000,0
El Salvador,2000,0
Estonia,2000,0
Finland,2000,0
France,2000,1
Georgia,2000,0
Germany,2000,2
Gibraltar,2000,0
Greece,2000,0
Hong Kong,2000,0
Hungary,2000,0
Iceland,2000,0
India,2000,0
Indonesia,2000,0
Ireland,2000,0
Israel,2000,1
Italy,2000,1
Japan,2000,0
Kenya,2000,0
Latvia,2000,0
Lebanon,2000,0
Lithuania,2000,0
Luxembourg,2000,0
Malaysia,2000,0
Malta,2000,0
Mauritius,2000,0
Mexico,2000,0
Mongolia,2000,0
Netherlands,2000,0
New Zealand,2000,0
Nigeria,2000,0
Norway,2000,0
Pakistan,2000,0
Peru,2000,0
Philippines,2000,0
Poland,2000,0
Portugal,2000,0
Qatar,2000,0
Romania,2000,0
Russia,2000,1
Singapore,2000,0
South Africa,2000,0
South Korea,2000,0
Spain,2000,1
Sweden,2000,0
Switzerland,2000,0
Taiwan,2000,0
Tunisia,2000,0
Turkey,2000,0
Ukraine,2000,0
United Arab Emirates,2000,0
United Kingdom,2000,2
United States,2000,23
Uruguay,2000,0
Vietnam,2000,0
